//ver JP EN
00	25
0224	029D
0225	029E
0226	029F
0227	02A0
0228	02A1
0229	02A2
022A	02A3
022B	02A4
022C	02A5
022D	02A6
022E	02A7
022F	02A8
0230	02A9
0231	02AA
0232	02AB
0233	02AC
0234	02AD
0235	02AE
0236	02AF
0237	02B0
0238	02B1
0239	02B2
023A	02B3
023B	02B4
023C	02B5
023D	02B6
023E	02B7
023F	02B8
0240	02B9
0241	02BA
0242	02BB
0243	02BC
0244	02BD
0245	02BE
0246	02BF
0247	02C0
0248	02C1
0249	02C2
024A	02C3
024B	02C4
024C	02C5
024D	02C6
024E	02C7
024F	02C8
0250	02C9
0251	02CA
0252	02CB
0253	02CC
0254	02CD
0255	02CE
0256	02CF
0257	02D0
0258	02D1
0259	02D2
025A	02D3
025B	02D4
025C	02D5
025D	02D6
025E	02D7
025F	02D8
0260	02D9
0261	02DA
0262	02DB
0263	02DC
0264	02DD
0265	02DE
0266	02DF
0267	02E0
0268	02E1
0269	02E2
026A	02E3
026B	02E4
026C	02E5
026D	02E6
026E	02E7
026F	02E8
0270	02E9
0271	02EA
0272	02EB
0273	02EC
0274	02ED
0275	02EE
0276	02EF
0277	02F0
0278	02F1
0279	02F2
027A	02F3
027B	02F4
027C	02F5
027D	02F6
027E	02F7
027F	02F8
0280	02F9
0281	02FA
0282	02FB
0283	02FC
0284	02FD
0285	02FE
0286	02FF
0287	0300
0288	0301
0289	0302
028A	0303
028B	0304
028C	0305
028D	0306
028E	0307
028F	0308
0290	0309
0291	030A
0292	030B
0293	030C
0294	030D
0295	030E
0296	030F
0297	0310
0298	0311
0299	0312
029A	0313
029B	0314
029C	0315
029D	0316
029E	0317
029F	0318
02A0	0319
02A1	031A
02A2	031B
02A3	031C
02A4	031D
02A5	031E
02A6	031F
02A7	0320
02A8	0321
02A9	0322
02AA	0323
02AB	0324
02AC	0325
02AD	0326
02AE	0327
02AF	0328
02B0	0329
02B1	032A
02B2	032B
02B3	032C
02B4	032D
02B5	032E
02B6	032F
02B7	0330
02B8	0331
02B9	0332
02BA	0333
02BB	0334
02BC	0335
02BD	0336
02BE	0337
02BF	0338
02C0	0339
02C1	033A
02C2	033B
02C3	033C
02C4	033D
02C5	0725
02C6	0726
02C7	0340
02C8	0341
02C9	0342
02CA	072A
02CB	0344
02CC	0345
02CD	0346
02CE	0347
02CF	0348
02D0	0730
02D1	034A
02D2	0732
02D3	034C
02D4	034D
02D5	034E
02D6	034F
02D7	0350
02D8	0351
02D9	0352
02DA	0353
02DB	0354
02DC	0355
02DD	0356
02DE	0357
02DF	0358
02E0	0359
02E1	035A
02E2	035B
02E3	035C
02E4	035D
02E5	035E
02E6	035F
02E7	0360
02E8	0361
02E9	0362
02EA	0363
02EB	0364
02EC	0365
02ED	0366
02EE	0367
02EF	0368
02F0	0369
02F1	036A
02F2	036B
02F3	036C
02F4	036D
02F5	036E
02F6	036F
02F7	0370
02F8	0371
02F9	0372
02FA	0373
02FB	0374
02FC	0375
02FD	0376
02FE	0377
02FF	0378
0300	0379
0301	037A
0302	037B
0303	037C
0304	037D
0305	037E
0306	037F
0307	0380
0308	0381
0309	0382
030A	0383
030B	0384
030C	0385
030D	0386
030E	0387
030F	0388
0310	0389
0311	038A
0312	038B
0313	038C
0314	038D
0315	038E
0316	038F
0317	0390
0318	0391
0319	0392
031A	0393
031B	0394
031C	0395
031D	0396
031E	0397
031F	0398
0320	0399
0321	039A
0322	039B
0323	039C
0324	039D
0325	039E
0326	039F
0327	03A0
0328	03A1
0329	03A2
032A	03A3
032B	03A4
032C	03A5
032D	03A6
032E	03A7
032F	03A8
0330	03A9
0331	03AA
0332	03AB
0333	03AC
0334	03AD
0335	03AE
0336	03AF
0337	03B0
0338	03B1
0339	03B2
033A	03B3
033B	03B4
033C	03B5
033D	03B6
033E	03B7
033F	03B8
0340	03B9
0341	03BA
0342	03BB
0343	03BC
0344	03BD
0345	03BE
0346	03BF
0347	03C0
0348	03C1
0349	03C2
034A	03C3
034B	03C4
034C	03C5
034D	03C6
034E	03C7
034F	03C8
0350	03C9
0351	03CA
0352	03CB
0353	03CC
0354	03CD
0355	03CE
0356	03CF
0357	03D0
0358	03D1
0359	03D2
035A	03D3
035B	03D4
035C	03D5
035D	03D6
035E	03D7
035F	03D8
0360	03D9
0361	03DA
0362	03DB
0363	03DC
0364	03DD
0365	03DE
0366	03DF
0367	03E0
0368	03E1
0369	03E2
036A	03E3
036B	03E4
036C	03E5
036D	03E6
036E	03E7
036F	03E8
0370	03E9
0371	03EA
0372	03EB
0373	03EC
0374	03ED
0375	03EE
0376	03EF
0377	03F0
0378	03F1
0379	03F2
037A	03F3
037B	03F4
037C	03F5
037D	03F6
037E	03F7
037F	03F8
0380	03F9
0381	03FA
0382	03FB
0383	03FC
0384	03FD
0385	03FE
0386	03FF
0387	0400
0388	0401
0389	0402
038A	0403
038B	0404
038C	0405
038D	0406
038E	0407
038F	0408
0390	0409
0391	040A
0392	040B
0393	040C
0394	040D
0395	040E
0396	040F
0397	0410
0398	0411
0399	0412
039A	0413
039B	0414
039C	0415
039D	0416
039E	0417
039F	0418
03A0	0419
03A1	041A
03A2	041B
03A3	041C
03A4	041D
03A5	041E
03A6	041F
03A7	0420
03A8	0421
03A9	0422
03AA	0423
03AB	0424
03AC	0425
03AD	0426
03AE	0427
03AF	0428
03B0	0429
03B1	042A
03B2	042B
03B3	042C
03B4	042D
03B5	042E
03B6	042F
03B7	0430
03B8	0431
03B9	0432
03BA	0433
03BB	0434
03BC	0435
03BD	0436
03BE	0437
03BF	0464
03C0	0438
03C1	0439
03C2	043A
03C3	043B
03C4	043C
03C5	043D
03C6	043E
03C7	043F
03C8	0440
03C9	0441
03CA	0442
03CB	0443
03CC	0444
03CD	0445
03CE	0446
03CF	0447
03D0	0448
03D1	0449
03D2	044A
03D3	044B
03D4	044C
03D5	044D
03D6	044E
03D7	044F
03D8	0450
03D9	0451
03DA	0452
03DB	0453
03DC	0454
03DD	0455
03DE	0456
03DF	0457
03E0	0458
03E1	0459
03E2	045A
03E3	045B
03E4	045C
03E5	045D
03E6	045E
03E7	045F
03E8	0460
03E9	0461
03EA	0462
03EB	0463
03EC	0464
03ED	0465
03EE	0466
03EF	0467
03F0	0468
03F1	0469
03F2	046A
03F3	046B
03F4	046C
03F5	046D
03F6	046E
03F7	046F
03F8	0470
03F9	0471
03FA	0472
03FB	0473
03FC	0474
03FD	0475
03FE	0476
03FF	0477
0400	0478
0401	0479
0402	047A
0403	047B
0404	047C
0405	047D
0406	047E
0407	047F
0408	0480
0409	0481
040A	0482
040B	0483
040C	0484
040D	0485
040E	0486
040F	0487
0410	0488
0411	0489
0412	048A
0413	048B
0414	048C
0415	048D
0416	048E
0417	048F
0418	0490
0419	0491
041A	0492
041B	0493
041C	0494
041D	0495
041E	0496
041F	0497
0420	0498
0421	0499
0422	049A
0423	049B
0424	049C
0425	049D
0426	049E
0427	049F
0428	04A0
0429	04A1
042A	04A2
042B	04A3
042C	04A4
042D	04A5
042E	04A6
042F	04A7
0430	04A8
0431	04A9
0432	04AA
0433	04AB
0434	04AC
0435	04AD
0436	04AE
0437	04AF
0438	04B0
0439	04B1
043A	04B2
043B	04B3
043C	04B4
043D	04B5
043E	04B6
043F	04B7
0440	04B8
0441	04B9
0442	04BA
0443	04BB
0444	04BC
0445	04BD
0446	04BE
0447	04BF
0448	04C0
0449	04C1
044A	04C2
044B	04C3
044C	04C4
044D	04C5
044E	04C6
044F	04C7
0450	04C8
0451	04C9
0452	04CA
0453	04CB
0454	04CC
0455	04CD
0456	04CE
0457	04CF
0458	04D0
0459	04D1
045A	04D2
045B	04D3
045C	04D4
045D	04D5
045E	04D6
045F	04D7
0460	04D8
0461	04D9
0462	04DA
0463	04DB
0464	04DC
0465	04DD
0466	04DE
0467	04DF
0468	04E0
0469	04E1
046A	04E2
046B	04E3
046C	04E4
046D	0510
046E	0511
046F	0512
0470	0513
0471	050C
0472	050B
0473	050A
0474	04E5
0475	04E6
0476	04E7
0477	04E8
0478	04E9
0479	04EA
047A	04EB
047B	04EC
047C	04ED
047D	04EE
047E	04EF
047F	04F0
0480	04F1
0481	04F2
0482	04F3
0483	04F4
0484	04F5|Avid
0485	04F6
0486	04F7
0487	04F8
0488	04F9
0489	04FA
048A	04FB
048B	04FC
048C	04FD
048D	04FE
048E	04FF
048F	0500
0490	0501
0491	0502
0492	0503
0493	0504
0494	0505|　
0495	0506|　
0496	0507|　
0497	0508|　
0498	0509|　
0499	-|　
049A	-|　
049B	-|　
049C	-|　
049D	-|　
049E	-|　
049F	-|　
04A0	-
04A1	-
04A2	-
04A3	0514
04A4	0515
04A5	0516
04A6	0517
04A7	0518
04A8	0519
04A9	051A
04AA	051B
04AB	051C
04AC	051D
04AD	051E
04AE	0522
04AF	0523
04B0	0524
04B1	0525
04B2	0526
04B3	0527
04B4	0528
04B5	0529
04B6	052A
04B7	052B
04B8	052C
04B9	-
04BA	-
04BB	-
04BC	-
04BD	-
04BE	-
04BF	-
04C0	
04C1	053D
04C2	053B
04C3	067D
04C4	0534
04C5	0535
04C6	0536
04C7	-
04C8	-
04C9	-
04CA	-
04CB	0585
04CC	
04CD	
04CE	
04CF	053D
04D0	053B
04D1	053C
04D2	053D
04D3	053E
04D4	053F
04D5	0540
04D6	0541
04D7	0542
04D8	0543
04D9	0544
04DA	0545
04DB	0546
04DC	0547
04DD	0548
04DE	0549
04DF	054A
04E0	054B
04E1	054C
04E2	054D
04E3	054E
04E4	054F
04E5	0550
04E6	0551
04E7	0552
04E8	0553
04E9	0554
04EA	0555
04EB	0556
04EC	0557
04ED	0558
04EE	0559
04EF	055A
04F0	055B
04F1	055C
04F2	055D
04F3	055E
04F4	055F
04F5	0560
04F6	0561
04F7	0562
04F8	0563
04F9	0564
04FA	0565
04FB	0566
04FC	0567
04FD	0568
04FE	0569
04FF	056A
0500	056B
0501	056C
0502	056D
0503	056E
0504	056F
0505	0570
0506	0571
0507	0572
0508	0573
0509	0574
050A	0575
050B	0576
050C	0578
050D	0145
050E	
050F	
0510	
0511	
0512	
0513	80
0514	
0515	
0516	
0517	
0518	
0519	
051A	
051B	0590
051C	0591
051D	0592
051E	0593
051F	0594
0520	0595
0521	0596
0522	0597
0523	0598
0524	0599
0525	059A
0526	059B
0527	059C
0528	059D
0529	059E
052A	059F
052B	05A0
052C	05A1
052D	05A2
052E	05A3
052F	05A4
0530	05A5
0531	05A6
0532	05A7
0533	05A8
0534	05A9
0535	05AA
0536	05AB
0537	05AC
0538	0583
0539	057A
053A	057B
053B	057C
053C	057D
053D	057E
053E	0580
053F	0581
0540	
0541	
0542	
0543	
0544	
0545	
0546	05B5
0547	05B6
0548	05B7
0549	
054A	
054B	
054C	
054D	
054E	
054F	06E1
0550	
0551	
0552	05C0
0553	05C1
0554	05C2
0555	05C3
0556	05C4
0557	05C5
0558	05C6
0559	05C7
055A	05C8
055B	05C9
055C	05CA
055D	05CB
055E	05CC
055F	05CD
0560	05CE
0561	05CF
0562	05D0
0563	05D1
0564	05D2
0565	05D3
0566	05D4
0567	05D5
0568	05D6
0569	05D7
056A	05D8
056B	05D9
056C	05DA
056D	05DB
056E	05DC
056F	05DD
0570	05DE
0571	05DF
0572	05E0
0573	05E1
0574	05E2
0575	05E3
0576	05E4
0577	05E5
0578	05E6
0579	05E7
057A	05E8
057B	05E9
057C	05EA
057D	05EB
057E	05EC
057F	05ED
0580	05EE
0581	05EF
0582	05F0
0583	05F1
0584	05F2
0585	05F3
0586	05F4
0587	05F5
0588	05F6
0589	05F7
058A	05F8
058B	05F9
058C	05FA
058D	05FB
058E	05FC
058F	05FD
0590	05FE
0591	05FF
0592	0600
0593	0601
0594	0602
0595	0603
0596	0604
0597	0605
0598	0606
0599	0607
059A	0608
059B	0609
059C	060A
059D	060B
059E	060C
059F	060D
05A0	060E
05A1	060F
05A2	0610
05A3	0611
05A4	0612
05A5	0613
05A6	0614
05A7	0615
05A8	0616
05A9	0617
05AA	0618
05AB	0619
05AC	061A
05AD	061B
05AE	061C
05AF	061D
05B0	061E
05B1	061F
05B2	0620
05B3	0621
05B4	0622
05B5	0623
05B6	0624
05B7	0625
05B8	0626
05B9	0627
05BA	0628
05BB	0629
05BC	062A
05BD	062B
05BE	062C
05BF	062D
05C0	062E
05C1	062F
05C2	0630
05C3	0631
05C4	0632
05C5	0633
05C6	0634
05C7	0635
05C8	0636
05C9	0637
05CA	0638
05CB	0639
05CC	063A
05CD	063B
05CE	063C
05CF	063D
05D0	063E
05D1	063F
05D2	0640
05D3	0641
05D4	0642
05D5	0643
05D6	0644
05D7	0645
05D8	0646
05D9	0647
05DA	0648
05DB	0649
05DC	064A
05DD	064B
05DE	064C
05DF	064D
05E0	064E
05E1	064F
05E2	0650
05E3	0651
05E4	0652
05E5	0653
05E6	0654
05E7	0655
05E8	0656
05E9	0658
05EA	0658
05EB	0659
05EC	065A
05ED	065B
05EE	065C
05EF	065D
05F0	065E
05F1	065F
05F2	0660
05F3	0661
05F4	0662
05F5	0663
05F6	0664
05F7	0665
05F8	0666
05F9	0667
05FA	0668
05FB	0669
05FC	066A
05FD	066B
05FE	066C
05FF	066D
0600	066E
0601	066F
0602	0670
0603	0671
0604	0672
0605	0673
0606	0674
0607	0675
0608	0676
0609	0677
060A	0678
060B	067A
060C	067B
060D	067C
060E	067D
060F	067E
0610	067F
0611	0680
0612	0581
0613	0682
0614	0683
0615	0684
0616	0685
0617	0686
0618	0687
0619	0688
061A	0689
061B	068A
061C	068B
061D	068C
061E	068D
061F	068E
0620	068F
0621	0690|Stat
0622	0695
0623	0696
0624	0697
0625	0698
0626	0699
0627	069A
0628	069B
0629	069C
062A	060C
062B	069E|Rcd
062C	069F|Susp
062D	06A0
062E	06A1
062F	06A2
0630	06A3
0631	06A4
0632	-
0633	-
0634	-
0635	-
0636	-
0637	-
0638	-
0639	-
063A	-
063B	-
063C	-
063D	-
063E	-
063F	06BE
0640	06BF
0641	06C0
0642	06C1
0643	06C2
0644	06C3
0645	06C4
0646	06C5
0647	06C6
0648	06C7
0649	06C8
064A	06C9
064B	06C9
064C	06CB
064D	06CC
064E	06CD
064F	-
0650	06CE
0651	06CF
0652	06D0
0653	06D1
0654	06D2
0655	06D3
0656	06D4
0657	06D5
0658	06D6
0659	06D7
065A	06D8
065B	06D9
065C	06DA
065D	06DB
065E	06DC
065F	06DD
0660	06DE
0661	-
0662	06DF
0663	06E0
0664	06E1
0665	06E2
0666	06E3
0667	06E4
0668	06E5
0669	06E6
066A	06E7
066B	06E8
066C	06E9
066D	06EA
066E	06EB
066F	06EC
0670	06ED
0671	06EE
0672	06EF
0673	06F0
0674	06F1
0675	06F2
0676	06F3
0677	06F4
0678	06F5
0679	06F6
067A	06F7
067B	06F8
067C	06F9
067D	06FA
067E	06FB
067F	06FC
0680	06FD
0681	06FE
0682	06FF
0683	0700
0684	0701
0685	0702
0686	0703
0687	0704
0688	0705
0689	0706
068A	0707
068B	0708
068C	0709
068D	070A
068E	070B
068F	070C
0690	
0691	
0692	070D
0693	070E
0694	070F
0695	0710
0696	0711
0697	0712
0698	0713
0699	0714
069A	0715
069B	0716
069C	0717
069D	0718
069E	0719
069F	071A
06A0	
06A1	071B
06A2	071C
06A3	071D
06A4	071E
06A5	071F
06A6	0720
06A7	0721
06A8	0722
06A9	0723
06AA	0724
06AB	
06AC	
06AD	
06AE	
06AF	0727
06B0	0728
06B1	0729
06B2	072A
06B3	072B
06B4	072C
06B5	072D
06B6	072E
06B7	072F
06B8	0730
06B9	0731
06BA	0732
06BB	0733
06BC	0734
06BD	-
06BE	-
06BF	
06C0	
06C1	
06C2	
06C3	
06C4	
06C5	
06C6	
06C7	
06C8	
06C9	
06CA	
06CB	
06CC	
06CD	
06CE	
06CF	
06D0	
06D1	
06D2	
06D3	
06D4	
06D5	
06D6	
06D7	
06D8	
06D9	
06DA	
06DB	
06DC	
06DD	
06DE	
06DF	
06E0	
06E1	
06E2	12
06E3	
06E4	
06E5	
06E6	
06E7	
06E8	06CA
06E9	
06EA	
06EB	
06EC	
06ED	
06EE	0582
06EF	
06F0	
06F1	
06F2	05AF
06F3	
06F4	0C52
06F5	
06F6	
06F7	05B4
06F8	05B1
06F9	05B3
06FA	05B2
06FB	
06FC	
06FD	
06FE	
06FF	
0700	
0701	0882
0702	078B
0703	078C
0704	078D
0705	078E
0706	078F
0707	0790
0708	0791
0709	0792
070A	0793
070B	0794
070C	0795
070D	0796
070E	0797
070F	0798
0710	0799
0711	079A
0712	079B
0713	079C
0714	079D
0715	079E
0716	079F
0717	07A0
0718	07A1
0719	07A2
071A	07A3
071B	07A4
071C	07A5
071D	07A6
071E	07A7
071F	07A8
0720	07A9
0721	07AA
0722	07AB
0723	07AC
0724	07AD
0725	07AE
0726	07AF
0727	07B0
0728	07B1
0729	07B2
072A	07B3
072B	07B4
072C	07B5
072D	07B6
072E	07B7
072F	07B8
0730	07B9
0731	07BA
0732	07BB
0733	07BC
0734	07BD
0735	07BE
0736	07BF
0737	07C0
0738	07C1
0739	07C2
073A	07C3
073B	07C4
073C	07C5
073D	07C6
073E	07C7
073F	07C8
0740	07C9
0741	07CA
0742	07CB
0743	07CC
0744	07CD
0745	07CE
0746	07CF
0747	-
0748	07D1
0749	07D2
074A	07D3
074B	07D4
074C	-
074D	07D5
074E	07D6
074F	07D7
0750	07D8
0751	07D9
0752	07DA
0753	07DB
0754	07DC
0755	07DD
0756	07DE
0757	07DF
0758	07E0
0759	07E1
075A	07E2
075B	07E3
075C	07E4
075D	07E5
075E	07E6
075F	07E7
0760	07E8
0761	07E9
0762	07EA
0763	07EB
0764	07EC
0765	07ED
0766	07EE
0767	07EF
0768	07F0
0769	07F1
076A	07F2
076B	07F3
076C	07F4
076D	07F5
076E	07F6
076F	07F7
0770	07F8
0771	07F9
0772	07FA
0773	07FB
0774	07FC
0775	07FD
0776	07FE
0777	07FF
0778	0800
0779	0801
077A	0802
077B	0803
077C	0804
077D	0805
077E	0806
077F	0807
0780	0808
0781	0809
0782	080A
0783	080B
0784	080C
0785	080D
0786	080E
0787	080F
0788	0810
0789	0811
078A	0812
078B	0813
078C	0814
078D	0815
078E	0816
078F	0817
0790	0818
0791	0819
0792	081A
0793	081B
0794	081C
0795	081D
0796	081E
0797	081F
0798	0820
0799	0821
079A	0822
079B	0823
079C	0824
079D	0825
079E	0826
079F	0827
07A0	0828
07A1	0829
07A2	082A
07A3	082B
07A4	082C
07A5	082D
07A6	082E
07A7	082F
07A8	0830
07A9	0831
07AA	0832
07AB	0833
07AC	0834
07AD	0835
07AE	0836
07AF	0837
07B0	0838
07B1	0839
07B2	083A
07B3	083B
07B4	083C
07B5	083D
07B6	083E
07B7	083F
07B8	0840
07B9	0841
07BA	0842
07BB	0843
07BC	0844
07BD	0845
07BE	0846
07BF	0847
07C0	0692
07C1	0140
07C2	0141
07C3	0848
07C4	0849
07C5	084A
07C6	0143
07C7	
07C8	
07C9	084B
07CA	084C
07CB	084D
07CC	084E
07CD	084F
07CE	0850
07CF	0851
07D0	0852
07D1	0853
07D2	0854
07D3	0855
07D4	0856
07D5	0857
07D6	0858
07D7	0859
07D8	085A
07D9	085B
07DA	085C
07DB	085D
07DC	085E
07DD	085F
07DE	0860
07DF	0861
07E0	0862
07E1	0863
07E2	0864
07E3	0865
07E4	0866
07E5	0867
07E6	0868
07E7	0869
07E8	086A
07E9	086B
07EA	086C
07EB	086D
07EC	087B
07ED	086F
07EE	0870
07EF	0871
07F0	0872
07F1	0873
07F2	0874
07F3	0875
07F4	0876
07F5	0877
07F6	0878
07F7	0879
07F8	087A
07F9	
07FA	087C
07FB	087D
07FC	087E
07FD	087F
07FE	0880
07FF	0881
0800	-
0801	02
0802	03
0803	04
0804	05
0805	08
0806	0A
0807	06
0808	09
0809	07
080A	0B
080B	0C
080C	10
080D	0D
080E	0F
080F	10
0810	13
0811	14
0812	15
0813	16
0814	17
0815	18
0816	19
0817	1A
0818	1B
0819	1C
081A	1D
081B	20
081C	21
081D	1E
081E	1F
081F	08FE
0820	08FF
0821	
0822	
0823	
0824	
0825	0885
0826	0886
0827	0887
0828	
0829	088C
082A	088D
082B	088E
082C	088F
082D	0890
082E	0891
082F	0892
0830	0893
0831	0894
0832	0149
0833	014A
0834	014B
0835	
0836	0896
0837	0897
0838	0898
0839	0899
083A	089A
083B	089B
083C	089C
083D	089D
083E	089E
083F	089F
0840	08A0
0841	08A1
0842	08A2
0843	08A3
0844	08A4
0845	08A5
0846	08A6
0847	08A7
0848	08A8
0849	08A9
084A	08AA
084B	08AB
084C	08AC
084D	08AD
084E	08AE
084F	08AF
0850	08B0
0851	08B1
0852	08B2
0853	08B3
0854	08B4
0855	08B5
0856	08B6
0857	08B7
0858	08B8
0859	08B9
085A	08BA
085B	08BB
085C	08BC
085D	08BD
085E	08BE
085F	08BF
0860	08C0
0861	08C1
0862	08C2
0863	08C3
0864	08C4
0865	08C5
0866	08C6
0867	08C7
0868	08C8
0869	08C9
086A	08CA
086B	08CB
086C	08CC
086D	08CD
086E	08CE
086F	08CF
0870	08D0
0871	08D1
0872	08D2
0873	08D3
0874	08D4
0875	08D5
0876	08D6
0877	08D7
0878	08D8
0879	08D9
087A	08DA
087B	08DB
087C	
087D	
087E	
087F	08DC
0880	08DD
0881	08DE
0882	08DF
0883	08E0
0884	
0885	08E1
0886	
0887	08E2
0888	
0889	08E3
088A	
088B	08E4
